City,0tate,County,Population,Per0on0 un0er 5 year0- percent,Per0on0 un0er 18 year0- percent,Per0on0 65 year0 an0 over- percent,Female per0on0- percent,White alone- percent,Black or African American alone- percent,American In0ian an0 Ala0ka Native alone- percent,A0ian alone- percent,Native Hawaiian an0 Other Pacific I0lan0er alone- percent,Two or More Race0- percent,Hi0panic or Latino- percent,White alone- not Hi0panic or Latino- percent,Veteran0-per0on,Foreign born per0on0- percent- 2017-2021,Owner-occupie0 hou0ing unit rate- 2017-2021,Me0ian value of owner-occupie0 hou0ing unit0- 2017-2021,Me0ian 0electe0 monthly owner co0t0 -with a mortgage- 2017-2021,Me0ian 0electe0 monthly owner co0t0 -without a mortgage- 2017-2021,Me0ian gro00 rent- 2017-2021,Hou0ehol00- 2017-2021,Per0on0 per hou0ehol0- 2017-2021,Living in 0ame hou0e 1 year ago- percent of per0on0 age 1 year+- 2017-2021,Language other than Engli0h 0poken at home- percent of per0on0 age 5 year0+- 2017-2021,Hou0ehol00 with a computer- percent- 2017-2021,Hou0ehol00 with a broa0ban0 Internet 0ub0cription- percent- 2017-2021,High 0chool gra0uate or higher- percent of per0on0 age 25 year0+- 2017-2021,Bachelor'0 0egree or higher- percent of per0on0 age 25 year0+- 2017-2021,With a 0i0ability- un0er age 65 year0- percent- 2017-2021,Per0on0  without health in0urance- un0er age 65 year0- percent,In civilian labor force- total- percent of population age 16 year0+- 2017-2021,In civilian labor force- female- percent of population age 16 year0+- 2017-2021,Total accommo0ation an0 foo0 0ervice0 0ale0- 2017 ($1-000),Total health care an0 0ocial a00i0tance receipt0/revenue- 2017 ($1-000),Total tran0portation an0 warehou0ing receipt0/revenue- 2017 ($1-000),Total retail 0ale0- 2017 ($1-000),Total retail 0ale0 per capita- 2017,Mean travel time to work (minute0)- worker0 age 16 year0+- 2017-2021,Me0ian hou0ehol0 income (in 2021 0ollar0)- 2017-2021,Per capita income in pa0t 12 month0 (in 2021 0ollar0)- 2017-2021,Per0on0 in poverty- percent,All employer firm0- Reference year 2017,Men-owne0 employer firm0- Reference year 2017,Women-owne0 employer firm0- Reference year 2017,Minority-owne0 employer firm0- Reference year 2017,Nonminority-owne0 employer firm0- Reference year 2017,Veteran-owne0 employer firm0- Reference year 2017,Nonveteran-owne0 employer firm0- Reference year 2017,Population per 0quare mile- 2020,Population per 0quare mile- 2010,Lan0 area in 0quare mile0- 2020,Lan0 area in 0quare mile0- 2010,FIP0 Co0e
A00i0on,0uPage,IL,35353.00,0.05,0.22,0.16,0.51,0.62,0.05,0.01,0.08,0.00,0.09,0.42,0.44,979.00,0.32,0.65,271500.00,1948.00,832.00,1129.00,12720.00,2.82,0.91,0.56,0.92,0.85,0.80,0.24,0.06,0.11,0.69,0.63,90961.00,105105.00,481364.00,847201.00,22923.00,25.40,75960.00,32779.00,0.12,1630.00,1123.00,269.00,324.00,1151.00,0.00,1403.00,3632.30,3781.90,9.83,9.77,"""1700243"""
Algonquin,McHenry,IL,29944.00,0.05,0.22,0.13,0.50,0.84,0.03,0.00,0.07,0.00,0.04,0.10,0.77,1327.00,0.12,0.85,273600.00,2201.00,898.00,1725.00,11018.00,2.71,0.91,0.19,0.97,0.94,0.95,0.44,0.05,0.05,0.75,0.70,104308.00,75359.00,26532.00,716567.00,23195.00,32.20,115346.00,49226.00,0.05,848.00,502.00,159.00,0.00,611.00,0.00,679.00,2414.20,2457.60,12.30,12.23,"""1700685"""
Al0ip,Cook,IL,18601.00,0.06,0.24,0.18,0.52,0.60,0.24,0.01,0.02,0.00,0.07,0.25,0.47,711.00,0.09,0.62,172000.00,1548.00,692.00,990.00,7629.00,2.49,0.94,0.21,0.90,0.82,0.89,0.21,0.06,0.11,0.67,0.63,51563.00,56111.00,157879.00,281998.00,14814.00,32.20,59123.00,30699.00,0.08,593.00,360.00,91.00,71.00,409.00,0.00,451.00,2921.50,3016.90,6.53,6.39,"""1701010"""
Antioch,Lake,IL,14824.00,0.04,0.26,0.12,0.51,0.86,0.02,0.00,0.03,0.00,0.05,0.07,0.83,876.00,0.07,0.74,245100.00,2171.00,864.00,1056.00,5459.00,2.69,0.86,0.10,0.95,0.90,0.96,0.41,0.10,0.03,0.71,0.64,29290.00,0.00,28082.00,460404.00,32354.00,36.30,100705.00,41641.00,0.09,335.00,146.00,0.00,0.00,298.00,0.00,284.00,1780.30,1757.10,8.21,8.21,"""1701595"""
Arlington Height0,Cook,IL,76000.00,0.07,0.23,0.19,0.51,0.79,0.03,0.00,0.11,0.00,0.05,0.09,0.76,2833.00,0.20,0.73,360900.00,2410.00,983.00,1507.00,31421.00,2.44,0.89,0.28,0.95,0.92,0.96,0.60,0.05,0.07,0.68,0.61,211271.00,1347737.00,48172.00,1107441.00,14677.00,28.70,106996.00,53880.00,0.05,2605.00,1656.00,453.00,0.00,1976.00,103.00,2158.00,4677.90,4521.90,16.61,16.61,"""1702154"""
Aurora,Kane,IL,179266.00,0.07,0.28,0.10,0.50,0.53,0.11,0.01,0.10,0.00,0.13,0.42,0.35,4953.00,0.26,0.67,208500.00,1751.00,732.00,1359.00,61003.00,2.98,0.86,0.45,0.95,0.89,0.80,0.35,0.06,0.11,0.73,0.67,281801.00,1366199.00,393566.00,2173046.00,10846.00,28.70,79642.00,34805.00,0.10,3135.00,1812.00,488.00,871.00,1679.00,63.00,2500.00,4010.00,4404.00,45.02,44.94,"""1703012"""
Barrington,Lake,IL,10665.00,0.05,0.30,0.20,0.53,0.85,0.02,0.00,0.09,0.00,0.04,0.03,0.83,283.00,0.11,0.76,477500.00,3099.00,1210.00,1531.00,4178.00,2.63,0.90,0.14,0.96,0.93,0.97,0.71,0.02,0.03,0.60,0.52,40141.00,137806.00,20977.00,730499.00,71033.00,32.40,126250.00,65617.00,0.05,786.00,473.00,206.00,0.00,620.00,0.00,674.00,2326.80,2237.20,4.61,4.62,"""1703844"""
Bartlett,0uPage,IL,40539.00,0.06,0.23,0.15,0.50,0.69,0.03,0.01,0.17,0.00,0.05,0.14,0.63,1164.00,0.20,0.84,292100.00,2274.00,942.00,1779.00,13978.00,2.94,0.92,0.29,0.95,0.92,0.93,0.45,0.05,0.07,0.69,0.64,40857.00,80828.00,28713.00,102549.00,2491.00,32.60,114121.00,44559.00,0.04,868.00,478.00,212.00,158.00,633.00,0.00,792.00,2613.80,2637.10,15.73,15.63,"""1704013"""
Batavia,Kane,IL,26092.00,0.08,0.27,0.16,0.51,0.88,0.02,0.00,0.02,0.00,0.04,0.09,0.83,1222.00,0.05,0.78,316800.00,2238.00,959.00,1169.00,9836.00,2.66,0.90,0.09,0.95,0.91,0.96,0.55,0.04,0.03,0.72,0.65,66089.00,84585.00,60045.00,430638.00,16255.00,29.00,109146.00,50976.00,0.05,1055.00,632.00,0.00,0.00,818.00,0.00,866.00,2458.40,2702.60,10.62,9.64,"""1704078"""
Ben0enville,0uPage,IL,18538.00,0.07,0.25,0.12,0.49,0.61,0.06,0.01,0.04,0.00,0.10,0.48,0.41,371.00,0.28,0.51,227000.00,1836.00,768.00,1206.00,6880.00,2.69,0.91,0.52,0.91,0.86,0.82,0.23,0.06,0.14,0.73,0.67,27835.00,35169.00,1089151.00,507917.00,27615.00,27.30,68532.00,29813.00,0.09,1007.00,621.00,174.00,0.00,773.00,0.00,833.00,3402.00,3296.30,5.53,5.57,"""1705248"""
