City,Total Number of Courts in the City,Average Maximum Norm,Population Estimates,Tennis Player Estimates,Matches Estimates in a week,Minimum Matches in an hour,Maximum Matches in an hour,Minimum Number of Demanded Courts (Singles),Minimum Number of Demanded Courts (Doubles),Maximum Number of Demanded Courts (Singles),Maximum Number of Demanded Courts (Doubles),S/D Ratio for Minimum Singles,S/D Ratio for Minimum Doubles,S/D Ratio for Maximum Singles,S/D Ratio for Maximum Doubles
Addison,29,0.2645,"35,353",2758,7500,89,165,45,22,83,41,0.6496,1.2991,0.3508,0.7016
Algonquin,16,0.2898,"29,944",2336,6353,76,153,38,19,77,38,0.4231,0.8462,0.2086,0.4171
Alsip,7,0.2515,"18,601",1451,3946,47,83,23,12,41,21,0.2980,0.5960,0.1693,0.3385
Antioch,4,,"14,824",1156,3145,37,0,19,9,0,0,0.2137,0.4273,,
Arlington Heights,52,0.2384,"76,000",5928,16124,192,320,96,48,160,80,0.5418,1.0836,0.3247,0.6493
Aurora,55,,"179,266",13983,38033,453,0,226,113,0,0,0.2429,0.4859,,
Barrington,22,0.2142,"10,665",832,2263,27,40,13,7,20,10,1.6335,3.2669,1.0896,2.1792
Bartlett,14,0.2660,"40,539",3162,8601,102,191,51,26,95,48,0.2735,0.5469,0.1469,0.2937
Batavia,21,0.1997,"26,092",2035,5536,66,92,33,16,46,23,0.6373,1.2746,0.4559,0.9118
Bensenville,11,0.3715,"18,538",1446,3933,47,122,23,12,61,30,0.4699,0.9397,0.1807,0.3614
Berkeley,1,0.3043,"5,214",407,1106,13,28,7,3,14,7,0.1519,0.3037,0.0713,0.1426
Berwyn,17,0.2621,"55,772",4350,11833,141,258,70,35,129,65,0.2414,0.4827,0.1316,0.2631
Beverly Shores,1,,,0,0,0,0,0,0,0,0,,,,
Big Rock,2,0.2057,,0,0,0,0,0,0,0,0,,,,
Bloomingdale,8,0.2564,"22,386",1746,4749,57,101,28,14,51,25,0.2830,0.5660,0.1577,0.3153
Blue Island,8,,"22,005",1716,4669,56,0,28,14,0,0,0.2879,0.5758,,
Bolingbrook,27,0.2185,"73,597",5741,15614,186,284,93,46,142,71,0.2905,0.5810,0.1900,0.3799
Braidwood,6,,"6,182",482,1312,16,0,8,4,0,0,0.7685,1.5371,,
Bridgeview,2,0.3600,"16,715",1304,3546,42,106,21,11,53,27,0.0947,0.1895,0.0376,0.0752
Broadview,2,0.2596,"7,956",621,1688,20,37,10,5,18,9,0.1991,0.3981,0.1095,0.2191
Brookfield,0,,"19,054",1486,4042,48,0,24,12,0,0,0.0000,0.0000,,
Buffalo Grove,26,0.2867,"42,794",3338,9079,108,217,54,27,108,54,0.4811,0.9622,0.2398,0.4795
Burbank,20,0.2371,"28,789",2246,6108,73,121,36,18,60,30,0.5501,1.1002,0.3315,0.6629
Calumet City,7,,"35,159",2742,7459,89,0,44,22,0,0,0.1577,0.3153,,
Carol Stream,10,0.1768,"39,333",3068,8345,99,123,50,25,61,31,0.2013,0.4026,0.1627,0.3254
Carpentersville,8,,"37,598",2933,7977,95,0,47,24,0,0,0.1685,0.3370,,
Cary,12,0.2080,"17,848",1392,3787,45,66,23,11,33,16,0.5324,1.0648,0.3657,0.7313
Cedar Lake,9,,"14,693",1146,3117,37,0,19,9,0,0,0.4850,0.9701,,
Channahon,5,0.3136,"13,706",1069,2908,35,76,17,9,38,19,0.2889,0.5777,0.1316,0.2632
Chesterton,10,,"14,375",1121,3050,36,0,18,9,0,0,0.5509,1.1017,,
Chicago,381,0.2082,"2,696,555",210331,572101,6811,9925,3405,1703,4963,2481,0.1119,0.2238,0.0768,0.1535
Chicago Heights,17,,"26,905",2099,5708,68,0,34,17,0,0,0.5003,1.0007,,
Chicago Ridge,0,,"14,130",1102,2998,36,0,18,9,0,0,0.0000,0.0000,,
Cicero,8,0.2946,"83,161",6487,17643,210,433,105,53,217,108,0.0762,0.1524,0.0369,0.0739
Clarendon Hills,6,0.2375,"8,625",673,1830,22,36,11,5,18,9,0.5509,1.1017,0.3314,0.6628
Coal City,2,,"5,749",448,1220,15,0,7,4,0,0,0.2755,0.5510,,
Country Club Hills,11,,"16,407",1280,3481,41,0,21,10,0,0,0.5309,1.0618,,
Countryside,7,0.2514,"6,275",489,1331,16,28,8,4,14,7,0.8833,1.7667,0.5020,1.0039
Crete,4,,,0,0,0,0,0,0,0,0,,,,
Crown Point,5,,"34,621",2700,7345,87,0,44,22,0,0,0.1144,0.2287,,
Crystal Lake,48,0.2098,"40,411",3152,8574,102,150,51,26,75,37,0.9406,1.8811,0.6403,1.2806
Darien,17,0.3369,"21,751",1697,4615,55,130,27,14,65,32,0.6189,1.2378,0.2624,0.5249
Deerfield,8,0.1871,"19,079",1488,4048,48,63,24,12,32,16,0.3320,0.6641,0.2536,0.5071
Demotte,4,0.3649,,0,0,0,0,0,0,0,0,,,,
Des Plaines,25,0.2630,"59,459",4638,12615,150,277,75,38,138,69,0.3329,0.6659,0.1808,0.3616
Dolton,9,,"20,941",1633,4443,53,0,26,13,0,0,0.3403,0.6806,,
Downers Grove,36,0.2265,"49,654",3873,10535,125,199,63,31,99,50,0.5741,1.1482,0.3620,0.7241
Dyer,2,0.2596,"16,441",1282,3488,42,75,21,10,38,19,0.0963,0.1927,0.0530,0.1060
East Chicago,7,,"26,099",2036,5537,66,0,33,16,0,0,0.2124,0.4248,,
Elgin,37,0.2661,"113,911",8885,24167,288,536,144,72,268,134,0.2572,0.5144,0.1381,0.2762
Elk Grove Village,24,0.2247,"32,066",2501,6803,81,127,40,20,64,32,0.5927,1.1853,0.3768,0.7537
Elmhurst,36,0.2564,"45,326",3535,9616,114,205,57,29,103,51,0.6289,1.2579,0.3504,0.7009
Elmwood Park,0,,"23,945",1868,5080,60,0,30,15,0,0,0.0000,0.0000,,
Elwood,2,,,0,0,0,0,0,0,0,0,,,,
Evanston,56,0.2116,"77,517",6046,16446,196,290,98,49,145,72,0.5721,1.1441,0.3863,0.7725
Evergreen Park,2,0.2290,"19,471",1519,4131,49,79,25,12,39,20,0.0813,0.1627,0.0507,0.1015
Flossmoor,24,,"9,461",738,2007,24,0,12,6,0,0,2.0087,4.0174,,
Forest Park,6,0.2577,"14,012",1093,2973,35,64,18,9,32,16,0.3391,0.6782,0.1880,0.3759
Fox Lake,8,,"10,927",852,2318,28,0,14,7,0,0,0.5797,1.1595,,
Frankfort,36,0.2144,"20,492",1598,4348,52,78,26,13,39,19,1.3911,2.7822,0.9271,1.8541
Franklin Park,11,0.2685,"18,298",1427,3882,46,87,23,12,43,22,0.4760,0.9521,0.2533,0.5066
Gardner,2,,,0,0,0,0,0,0,0,0,,,,
Gary,22,0.2273,"68,325",5329,14496,173,275,86,43,137,69,0.2550,0.5099,0.1602,0.3205
Geneva,20,0.2439,"21,247",1657,4508,54,92,27,13,46,23,0.7454,1.4908,0.4366,0.8733
Glen Ellyn,35,0.2697,"28,533",2226,6054,72,136,36,18,68,34,0.9713,1.9427,0.5145,1.0290
Glencoe,11,0.2318,"8,687",678,1843,22,36,11,5,18,9,1.0027,2.0054,0.6181,1.2362
Glendale Heights,7,0.2178,"32,796",2558,6958,83,126,41,21,63,32,0.1690,0.3380,0.1109,0.2218
Glenview,48,0.2456,"47,856",3733,10153,121,208,60,30,104,52,0.7942,1.5885,0.4620,0.9240
Golf,2,,,0,0,0,0,0,0,0,0,,,,
Grayslake,14,0.2126,"21,121",1647,4481,53,79,27,13,40,20,0.5249,1.0498,0.3527,0.7054
Griffith,4,,,0,0,0,0,0,0,0,0,,,,
Gurnee,8,0.3306,"30,521",2381,6475,77,178,39,19,89,45,0.2076,0.4151,0.0897,0.1794
Hammond,21,0.3064,"76,984",6005,16333,194,417,97,49,208,104,0.2160,0.4320,0.1007,0.2015
Hampshire,12,0.3073,"7,758",605,1646,20,42,10,5,21,11,1.2248,2.4497,0.5694,1.1388
Hanover Park,3,0.3482,"36,774",2868,7802,93,226,46,23,113,57,0.0646,0.1292,0.0265,0.0530
Harvard,2,,"9,459",738,2007,24,0,12,6,0,0,0.1674,0.3349,,
Harvey,7,,"19,871",1550,4216,50,0,25,13,0,0,0.2789,0.5579,,
Harwood Heights,0,,"8,836",689,1875,22,0,11,6,0,0,0.0000,0.0000,,
Hazel Crest,2,,"13,098",1022,2779,33,0,17,8,0,0,0.1209,0.2418,,
Hebron,1,,,0,0,0,0,0,0,0,0,,,,
Hickory Hills,2,0.2027,"14,182",1106,3009,36,51,18,9,25,13,0.1117,0.2233,0.0787,0.1574
Highland,18,,,0,0,0,0,0,0,0,0,,,,
Highland Park,30,0.2136,"30,177",2354,6402,76,114,38,19,57,28,0.7872,1.5744,0.5264,1.0529
Hillside,11,0.3043,"8,142",635,1727,21,44,10,5,22,11,1.0698,2.1396,0.5022,1.0045
Hinsdale,29,0.2496,"17,273",1347,3665,44,76,22,11,38,19,1.3295,2.6589,0.7610,1.5219
Hobart,10,,"29,521",2303,6263,75,0,37,19,0,0,0.2682,0.5365,,
Hoffman Estates,23,0.2357,"51,350",4005,10894,130,214,65,32,107,54,0.3547,0.7094,0.2149,0.4299
Homer Glen,4,0.4464,"24,516",1912,5201,62,193,31,15,97,48,0.1292,0.2584,0.0413,0.0827
Homewood,5,0.1972,"19,001",1482,4031,48,66,24,12,33,17,0.2084,0.4167,0.1510,0.3019
Itasca,2,,"9,430",736,2001,24,0,12,6,0,0,0.1679,0.3359,,
